CUSTOMER_ID;CREATION_DATE;REGIONAL_CODE;ORIGIN
AA00312188;05/11/2005;11;WEB
AA00312390;17/01/2009;42;WEB
AA00325975;04/01/2005;11;WEB
AA00336843;12/03/2014;11;WEB
AA00339761;13/02/2004;6;WEB
AA00339963;06/11/2004;21;WEB
AA00353548;09/02/2008;3;WEB
AA00361699;24/03/2002;48;WEB
AA00367334;07/02/2005;25;WEB
AA00395109;22/03/2005;13;WEB
AA00403260;12/05/2001;11;WEB
AA00405775;19/10/2004;23;WEB
AA00405977;04/04/2007;42;WEB
AA00414329;30/07/2009;54;WEB
AA00422480;25/11/2007;36;WEB
AA00422682;23/12/2004;36;PHONE
AA00455487;01/01/2001;39;WEB
AA00786363;22/12/2013;11;WEB
AA00962871;27/09/2010;17;WEB
AA00993362;26/02/2002;41;WEB
AA01039954;11/03/2002;46;STORE
AA01053741;10/12/2005;71;WEB
AA01053942;22/12/2004;66;WEB
AA01056659;01/09/2008;43;WEB
AA01062093;05/10/2011;33;WEB
AA01078597;26/03/2001;53;WEB
AA01100736;21/11/2010;35;PHONE
AA01100937;23/03/2006;78;WEB
AA01109088;20/12/2005;28;WEB
AA01393171;26/10/2003;38;WEB
AA01398403;21/01/2005;64;WEB
AA01398605;16/04/2006;64;STORE
AA01489475;23/03/2015;17;WEB
AA01748903;21/07/2016;38;WEB
AA01859195;05/09/2013;30;STORE
AA02912403;16/12/2013;47;STORE
AA03422302;02/06/2013;13;STORE
AA03554934;13/08/2015;56;STORE
AA03855319;03/12/2014;9;STORE
AA04175327;18/02/2016;25;WEB
AA04390275;15/04/2015;64;STORE
AA04470277;11/05/2014;16;PHONE
AA04550279;11/05/2018;40;PHONE
AA04566581;19/05/2018;1;WEB
AA04699012;09/08/2017;16;STORE
AA04748523;14/08/2018;62;PHONE
AA04823292;19/09/2015;26;PHONE
AA04867167;20/09/2017;63;WEB
AA05005234;24/11/2016;12;STORE
AA05032605;26/11/2017;71;PHONE
AA05049109;16/12/2015;46;PHONE
AB00297608;15/12/2002;6;WEB
